CPU Name, Rating, Rank, Num Thread Execution units, Avg Speed, Stock Speed, Samples
Intel Xeon E7- 8837 @ 2.67GHz,33504,2,30,2759,2670,2,
AMD Opteron 6274,32383,3,64,2200,2200,2,
AMD Opteron 6272,32233,4,64,2100,2100,7,
AMD Opteron 6174,29628,5,48,2200,2200,1,
AMD Opteron 6168,23730,6,48,1900,1900,8,
Intel Xeon E7- 4850 @ 2.00GHz,23726,7,40,1997,2000,1,
Intel Xeon E7- 4820 @ 2.00GHz,23151,8,32,1997,2000,1,
Six-Core AMD Opteron 8435,20068,9,48,2613,2600,2,
Intel Xeon X5690 @ 3.47GHz,19292,10,24,3392,3470,76,
Intel Xeon E7- 4807 @ 1.87GHz,18848,11,48,1868,1870,1,
Intel Xeon X5680 @ 3.33GHz,18709,12,12,3256,3330,109,
Intel Xeon X7460 @ 2.66GHz,18304,13,24,2134,2660,1,
AMD Opteron 6272,17235,14,32,2001,2100,3,
AMD Opteron 6128,16964,15,32,2000,2000,4,
AMD Opteron 6180 SE,16867,16,24,2500,2500,1,
Intel Xeon X5675 @ 3.07GHz,16727,17,24,2918,3070,10,
Intel Xeon X7350 @ 2.93GHz,16715,18,16,1599,2930,1,
Six-Core AMD Opteron 8439 SE,16705,19,24,2800,2800,1,
Intel Xeon X5660 @ 2.80GHz,16631,20,12,2726,2800,34,
Intel Xeon E7- 4830 @ 2.13GHz,16522,21,32,2133,2130,1,
Intel Xeon X5670 @ 2.93GHz,16474,22,24,2917,2930,70,
Intel Xeon X5679 @ 3.20GHz,15711,23,12,3194,3200,2,
AMD Opteron 6174,15498,24,24,2200,2200,3,
Intel Xeon X5650 @ 2.67GHz,15397,25,12,2570,2670,128,
Intel Core i7-3960X @ 3.30GHz,15047,26,12,3257,3300,250,
Six-Core AMD Opteron 8431,14788,27,24,2411,2400,1,
Intel Core i7-3930K @ 3.20GHz,14733,28,12,3133,3200,648,
Intel Xeon L5640 @ 2.27GHz,14659,29,24,2403,2800,6,
AMD Opteron 6172,14180,30,24,2100,2100,5,
Intel Xeon E5645 @ 2.40GHz,13978,31,24,2309,2400,55,
Intel Xeon X5687 @ 3.60GHz,13502,32,8,3591,3600,5,
Intel Xeon E5649 @ 2.53GHz,13354,33,12,2021,2530,5,
AMD Opteron 6220,13244,34,16,3000,3000,1,
Quad-Core AMD Opteron 8387,13010,35,16,2813,2800,2,
Intel Xeon W5590 @ 3.33GHz,12999,36,8,3169,3330,47,
Intel Xeon L7555 @ 1.87GHz,12970,37,32,1862,1870,1,
Intel Xeon W5580 @ 3.20GHz,12945,38,8,2959,3200,83,
Quad-Core AMD Opteron 8384,12830,39,16,2613,2700,6,
Intel Core i7-3930K @ 3.20GHz,12678,40,8,3353,3200,1,
Quad-Core AMD Opteron 8386 SE,12335,41,16,2250,2800,2,
Intel Xeon X5677 @ 3.47GHz,12103,42,8,3500,3470,13,
AMD Opteron 6166 HE,12079,43,24,1800,1800,2,
Intel Xeon L5638 @ 2.00GHz,11996,44,24,2000,2400,1,
Intel Xeon X5570 @ 2.93GHz,11946,45,16,3007,2930,45,
Intel Xeon X5560 @ 2.80GHz,11857,46,8,2851,2800,34,
Quad-Core AMD Opteron 8360 SE,11822,47,16,2502,2500,5,
AMD Opteron 6176 SE,11814,48,24,2300,2300,3,
Intel Xeon X5667 @ 3.07GHz,11609,49,16,2818,3070,11,
Intel Xeon X5492 @ 3.40GHz,11262,50,8,3283,3400,13,
Mobile AMD Athlon 1800+,327,1388,1,1236,1500,3,
Intel Pentium M 1.30GHz,326,1389,1,783,1300,14,
Intel Core Solo U1500 @ 1.33GHz,326,1390,1,1128,1330,23,
VIA C7-D 1800MHz,326,1391,1,1795,1800,9,
Mobile AMD Athlon XP-M 1700+,324,1392,1,1458,0,2,
AMD Athlon,322,1393,1,1380,-1,765,
Intel Celeron 2.53GHz,322,1394,1,2533,2530,506,
Intel Atom N455 @ 1.66GHz,319,1395,2,1630,1660,362,
